"station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week"
40890,"O'Hare Airport","12/26/2017","W",11094,2017-12-26,12,"Dec",2017,26,"Tuesday"
40890,"O'Hare Airport","12/01/2017","W",12447,2017-12-01,12,"Dec",2017,1,"Friday"
40890,"O'Hare Airport","12/11/2017","W",10136,2017-12-11,12,"Dec",2017,11,"Monday"
40890,"O'Hare Airport","12/12/2017","W",9406,2017-12-12,12,"Dec",2017,12,"Tuesday"
40890,"O'Hare Airport","12/25/2017","U",7244,2017-12-25,12,"Dec",2017,25,"Monday"
40890,"O'Hare Airport","12/18/2017","W",10813,2017-12-18,12,"Dec",2017,18,"Monday"
40890,"O'Hare Airport","12/29/2017","W",10562,2017-12-29,12,"Dec",2017,29,"Friday"
40890,"O'Hare Airport","12/22/2017","W",9493,2017-12-22,12,"Dec",2017,22,"Friday"
40890,"O'Hare Airport","12/31/2017","U",7361,2017-12-31,12,"Dec",2017,31,"Sunday"
40890,"O'Hare Airport","12/16/2017","A",8450,2017-12-16,12,"Dec",2017,16,"Saturday"
40890,"O'Hare Airport","12/10/2017","U",8994,2017-12-10,12,"Dec",2017,10,"Sunday"
40890,"O'Hare Airport","12/07/2017","W",10554,2017-12-07,12,"Dec",2017,7,"Thursday"
40890,"O'Hare Airport","12/24/2017","U",6777,2017-12-24,12,"Dec",2017,24,"Sunday"
40890,"O'Hare Airport","12/15/2017","W",11057,2017-12-15,12,"Dec",2017,15,"Friday"
40890,"O'Hare Airport","12/03/2017","U",9308,2017-12-03,12,"Dec",2017,3,"Sunday"
40890,"O'Hare Airport","12/19/2017","W",10193,2017-12-19,12,"Dec",2017,19,"Tuesday"
40890,"O'Hare Airport","12/27/2017","W",11154,2017-12-27,12,"Dec",2017,27,"Wednesday"
40890,"O'Hare Airport","12/02/2017","A",8542,2017-12-02,12,"Dec",2017,2,"Saturday"
40890,"O'Hare Airport","12/06/2017","W",9540,2017-12-06,12,"Dec",2017,6,"Wednesday"
40890,"O'Hare Airport","12/28/2017","W",11141,2017-12-28,12,"Dec",2017,28,"Thursday"
40890,"O'Hare Airport","12/17/2017","U",9018,2017-12-17,12,"Dec",2017,17,"Sunday"
40890,"O'Hare Airport","12/14/2017","W",10629,2017-12-14,12,"Dec",2017,14,"Thursday"
40890,"O'Hare Airport","12/30/2017","A",8847,2017-12-30,12,"Dec",2017,30,"Saturday"
40890,"O'Hare Airport","12/21/2017","W",9558,2017-12-21,12,"Dec",2017,21,"Thursday"
40890,"O'Hare Airport","12/13/2017","W",9306,2017-12-13,12,"Dec",2017,13,"Wednesday"
40890,"O'Hare Airport","12/04/2017","W",9785,2017-12-04,12,"Dec",2017,4,"Monday"
40890,"O'Hare Airport","12/20/2017","W",9799,2017-12-20,12,"Dec",2017,20,"Wednesday"
40890,"O'Hare Airport","12/09/2017","A",8033,2017-12-09,12,"Dec",2017,9,"Saturday"
40890,"O'Hare Airport","12/08/2017","W",11875,2017-12-08,12,"Dec",2017,8,"Friday"
40890,"O'Hare Airport","12/23/2017","A",7578,2017-12-23,12,"Dec",2017,23,"Saturday"
40890,"O'Hare Airport","12/05/2017","W",9669,2017-12-05,12,"Dec",2017,5,"Tuesday"
40890,"O'Hare Airport","02/20/2018","W",10017,2018-02-20,2,"Feb",2018,20,"Tuesday"
40890,"O'Hare Airport","03/22/2018","W",10836,2018-03-22,3,"Mar",2018,22,"Thursday"
40890,"O'Hare Airport","03/28/2018","W",10298,2018-03-28,3,"Mar",2018,28,"Wednesday"
40890,"O'Hare Airport","01/12/2018","W",8264,2018-01-12,1,"Jan",2018,12,"Friday"
40890,"O'Hare Airport","02/04/2018","U",7315,2018-02-04,2,"Feb",2018,4,"Sunday"
40890,"O'Hare Airport","01/07/2018","U",7228,2018-01-07,1,"Jan",2018,7,"Sunday"
40890,"O'Hare Airport","01/25/2018","W",9090,2018-01-25,1,"Jan",2018,25,"Thursday"
40890,"O'Hare Airport","01/16/2018","W",7774,2018-01-16,1,"Jan",2018,16,"Tuesday"
40890,"O'Hare Airport","03/21/2018","W",9427,2018-03-21,3,"Mar",2018,21,"Wednesday"
40890,"O'Hare Airport","01/14/2018","U",6114,2018-01-14,1,"Jan",2018,14,"Sunday"
40890,"O'Hare Airport","01/04/2018","W",8278,2018-01-04,1,"Jan",2018,4,"Thursday"
40890,"O'Hare Airport","02/12/2018","W",10257,2018-02-12,2,"Feb",2018,12,"Monday"
40890,"O'Hare Airport","03/01/2018","W",9506,2018-03-01,3,"Mar",2018,1,"Thursday"
40890,"O'Hare Airport","02/26/2018","W",10061,2018-02-26,2,"Feb",2018,26,"Monday"
40890,"O'Hare Airport","03/16/2018","W",13995,2018-03-16,3,"Mar",2018,16,"Friday"
40890,"O'Hare Airport","01/08/2018","W",9362,2018-01-08,1,"Jan",2018,8,"Monday"
40890,"O'Hare Airport","02/16/2018","W",11521,2018-02-16,2,"Feb",2018,16,"Friday"
40890,"O'Hare Airport","03/07/2018","W",9193,2018-03-07,3,"Mar",2018,7,"Wednesday"
40890,"O'Hare Airport","02/17/2018","A",7786,2018-02-17,2,"Feb",2018,17,"Saturday"
40890,"O'Hare Airport","03/11/2018","U",9449,2018-03-11,3,"Mar",2018,11,"Sunday"
40890,"O'Hare Airport","01/01/2018","U",8226,2018-01-01,1,"Jan",2018,1,"Monday"
40890,"O'Hare Airport","02/14/2018","W",8724,2018-02-14,2,"Feb",2018,14,"Wednesday"
40890,"O'Hare Airport","01/11/2018","W",7996,2018-01-11,1,"Jan",2018,11,"Thursday"
40890,"O'Hare Airport","03/15/2018","W",12314,2018-03-15,3,"Mar",2018,15,"Thursday"
40890,"O'Hare Airport","02/22/2018","W",9912,2018-02-22,2,"Feb",2018,22,"Thursday"
40890,"O'Hare Airport","01/18/2018","W",7490,2018-01-18,1,"Jan",2018,18,"Thursday"
40890,"O'Hare Airport","03/09/2018","W",10942,2018-03-09,3,"Mar",2018,9,"Friday"
40890,"O'Hare Airport","03/05/2018","W",9879,2018-03-05,3,"Mar",2018,5,"Monday"
40890,"O'Hare Airport","02/09/2018","W",9127,2018-02-09,2,"Feb",2018,9,"Friday"
40890,"O'Hare Airport","03/24/2018","A",8995,2018-03-24,3,"Mar",2018,24,"Saturday"
40890,"O'Hare Airport","02/10/2018","A",7658,2018-02-10,2,"Feb",2018,10,"Saturday"
40890,"O'Hare Airport","03/04/2018","U",8795,2018-03-04,3,"Mar",2018,4,"Sunday"
40890,"O'Hare Airport","01/22/2018","W",9193,2018-01-22,1,"Jan",2018,22,"Monday"
40890,"O'Hare Airport","02/23/2018","W",10450,2018-02-23,2,"Feb",2018,23,"Friday"
40890,"O'Hare Airport","03/03/2018","A",8166,2018-03-03,3,"Mar",2018,3,"Saturday"
40890,"O'Hare Airport","02/25/2018","U",8639,2018-02-25,2,"Feb",2018,25,"Sunday"
40890,"O'Hare Airport","02/07/2018","W",8148,2018-02-07,2,"Feb",2018,7,"Wednesday"
40890,"O'Hare Airport","03/23/2018","W",11488,2018-03-23,3,"Mar",2018,23,"Friday"
40890,"O'Hare Airport","01/05/2018","W",8561,2018-01-05,1,"Jan",2018,5,"Friday"
40890,"O'Hare Airport","01/19/2018","W",8293,2018-01-19,1,"Jan",2018,19,"Friday"
40890,"O'Hare Airport","02/24/2018","A",7458,2018-02-24,2,"Feb",2018,24,"Saturday"
40890,"O'Hare Airport","03/02/2018","W",10498,2018-03-02,3,"Mar",2018,2,"Friday"
40890,"O'Hare Airport","03/19/2018","W",10574,2018-03-19,3,"Mar",2018,19,"Monday"
40890,"O'Hare Airport","01/30/2018","W",8433,2018-01-30,1,"Jan",2018,30,"Tuesday"
40890,"O'Hare Airport","03/06/2018","W",9429,2018-03-06,3,"Mar",2018,6,"Tuesday"
40890,"O'Hare Airport","03/14/2018","W",9997,2018-03-14,3,"Mar",2018,14,"Wednesday"
40890,"O'Hare Airport","01/06/2018","A",6790,2018-01-06,1,"Jan",2018,6,"Saturday"
40890,"O'Hare Airport","03/12/2018","W",10582,2018-03-12,3,"Mar",2018,12,"Monday"
40890,"O'Hare Airport","02/27/2018","W",9074,2018-02-27,2,"Feb",2018,27,"Tuesday"
40890,"O'Hare Airport","02/08/2018","W",10129,2018-02-08,2,"Feb",2018,8,"Thursday"
40890,"O'Hare Airport","01/28/2018","U",8122,2018-01-28,1,"Jan",2018,28,"Sunday"
40890,"O'Hare Airport","02/19/2018","W",10325,2018-02-19,2,"Feb",2018,19,"Monday"
40890,"O'Hare Airport","03/31/2018","A",7233,2018-03-31,3,"Mar",2018,31,"Saturday"
40890,"O'Hare Airport","02/03/2018","A",6994,2018-02-03,2,"Feb",2018,3,"Saturday"
40890,"O'Hare Airport","03/30/2018","W",10297,2018-03-30,3,"Mar",2018,30,"Friday"
40890,"O'Hare Airport","03/13/2018","W",9166,2018-03-13,3,"Mar",2018,13,"Tuesday"
40890,"O'Hare Airport","01/15/2018","W",7684,2018-01-15,1,"Jan",2018,15,"Monday"
40890,"O'Hare Airport","03/08/2018","W",10088,2018-03-08,3,"Mar",2018,8,"Thursday"
40890,"O'Hare Airport","03/27/2018","W",10602,2018-03-27,3,"Mar",2018,27,"Tuesday"
40890,"O'Hare Airport","01/02/2018","W",9835,2018-01-02,1,"Jan",2018,2,"Tuesday"
40890,"O'Hare Airport","03/29/2018","W",11930,2018-03-29,3,"Mar",2018,29,"Thursday"
40890,"O'Hare Airport","01/03/2018","W",9038,2018-01-03,1,"Jan",2018,3,"Wednesday"
40890,"O'Hare Airport","02/28/2018","W",8708,2018-02-28,2,"Feb",2018,28,"Wednesday"
40890,"O'Hare Airport","02/06/2018","W",8795,2018-02-06,2,"Feb",2018,6,"Tuesday"
40890,"O'Hare Airport","03/20/2018","W",9823,2018-03-20,3,"Mar",2018,20,"Tuesday"
40890,"O'Hare Airport","02/21/2018","W",9632,2018-02-21,2,"Feb",2018,21,"Wednesday"
40890,"O'Hare Airport","02/01/2018","W",8914,2018-02-01,2,"Feb",2018,1,"Thursday"
40890,"O'Hare Airport","03/10/2018","A",8328,2018-03-10,3,"Mar",2018,10,"Saturday"
40890,"O'Hare Airport","03/26/2018","W",11056,2018-03-26,3,"Mar",2018,26,"Monday"
40890,"O'Hare Airport","01/27/2018","A",7234,2018-01-27,1,"Jan",2018,27,"Saturday"
40890,"O'Hare Airport","03/17/2018","A",8859,2018-03-17,3,"Mar",2018,17,"Saturday"
40890,"O'Hare Airport","01/24/2018","W",8514,2018-01-24,1,"Jan",2018,24,"Wednesday"
40890,"O'Hare Airport","02/13/2018","W",8877,2018-02-13,2,"Feb",2018,13,"Tuesday"
40890,"O'Hare Airport","01/26/2018","W",10158,2018-01-26,1,"Jan",2018,26,"Friday"
40890,"O'Hare Airport","01/31/2018","W",8292,2018-01-31,1,"Jan",2018,31,"Wednesday"
40890,"O'Hare Airport","02/18/2018","U",8744,2018-02-18,2,"Feb",2018,18,"Sunday"
40890,"O'Hare Airport","01/23/2018","W",8749,2018-01-23,1,"Jan",2018,23,"Tuesday"
40890,"O'Hare Airport","01/10/2018","W",8923,2018-01-10,1,"Jan",2018,10,"Wednesday"
40890,"O'Hare Airport","01/29/2018","W",9483,2018-01-29,1,"Jan",2018,29,"Monday"
40890,"O'Hare Airport","01/13/2018","A",6421,2018-01-13,1,"Jan",2018,13,"Saturday"
40890,"O'Hare Airport","02/02/2018","W",9315,2018-02-02,2,"Feb",2018,2,"Friday"
40890,"O'Hare Airport","03/18/2018","U",9202,2018-03-18,3,"Mar",2018,18,"Sunday"
40890,"O'Hare Airport","01/21/2018","U",6741,2018-01-21,1,"Jan",2018,21,"Sunday"
40890,"O'Hare Airport","01/09/2018","W",8685,2018-01-09,1,"Jan",2018,9,"Tuesday"
40890,"O'Hare Airport","02/15/2018","W",10019,2018-02-15,2,"Feb",2018,15,"Thursday"
40890,"O'Hare Airport","02/11/2018","U",8159,2018-02-11,2,"Feb",2018,11,"Sunday"
40890,"O'Hare Airport","03/25/2018","U",10450,2018-03-25,3,"Mar",2018,25,"Sunday"
40890,"O'Hare Airport","02/05/2018","W",9604,2018-02-05,2,"Feb",2018,5,"Monday"
40890,"O'Hare Airport","01/17/2018","W",6762,2018-01-17,1,"Jan",2018,17,"Wednesday"
40890,"O'Hare Airport","01/20/2018","A",6382,2018-01-20,1,"Jan",2018,20,"Saturday"
40890,"O'Hare Airport","06/02/2018","A",9591,2018-06-02,6,"Jun",2018,2,"Saturday"
40890,"O'Hare Airport","04/29/2018","U",10743,2018-04-29,4,"Apr",2018,29,"Sunday"
40890,"O'Hare Airport","05/03/2018","W",11522,2018-05-03,5,"May",2018,3,"Thursday"
40890,"O'Hare Airport","05/22/2018","W",12230,2018-05-22,5,"May",2018,22,"Tuesday"
40890,"O'Hare Airport","04/13/2018","W",12541,2018-04-13,4,"Apr",2018,13,"Friday"
40890,"O'Hare Airport","04/10/2018","W",9615,2018-04-10,4,"Apr",2018,10,"Tuesday"
40890,"O'Hare Airport","06/26/2018","W",10379,2018-06-26,6,"Jun",2018,26,"Tuesday"
40890,"O'Hare Airport","06/10/2018","U",11186,2018-06-10,6,"Jun",2018,10,"Sunday"
40890,"O'Hare Airport","06/15/2018","W",13196,2018-06-15,6,"Jun",2018,15,"Friday"
40890,"O'Hare Airport","06/18/2018","W",11552,2018-06-18,6,"Jun",2018,18,"Monday"
40890,"O'Hare Airport","04/19/2018","W",11526,2018-04-19,4,"Apr",2018,19,"Thursday"
40890,"O'Hare Airport","04/03/2018","W",9722,2018-04-03,4,"Apr",2018,3,"Tuesday"
