"X.station_id.","X.stationname.","X.date.","X.daytype.","X.rides.","X.date_ymd.","X.month.","X.month_char.","X.year.","X.day.","X.day_of_week."
40350,"""UIC-Halsted""","""12/08/2017""","""W""",7462,"2017-12-08",12,"""Dec""",2017,8,"""Friday"""
40350,"""UIC-Halsted""","""12/30/2017""","""A""",837,"2017-12-30",12,"""Dec""",2017,30,"""Saturday"""
40350,"""UIC-Halsted""","""12/13/2017""","""W""",5828,"2017-12-13",12,"""Dec""",2017,13,"""Wednesday"""
40350,"""UIC-Halsted""","""12/11/2017""","""W""",5614,"2017-12-11",12,"""Dec""",2017,11,"""Monday"""
40350,"""UIC-Halsted""","""12/20/2017""","""W""",3072,"2017-12-20",12,"""Dec""",2017,20,"""Wednesday"""
40350,"""UIC-Halsted""","""12/01/2017""","""W""",7718,"2017-12-01",12,"""Dec""",2017,1,"""Friday"""
40350,"""UIC-Halsted""","""12/28/2017""","""W""",1575,"2017-12-28",12,"""Dec""",2017,28,"""Thursday"""
40350,"""UIC-Halsted""","""12/04/2017""","""W""",7800,"2017-12-04",12,"""Dec""",2017,4,"""Monday"""
40350,"""UIC-Halsted""","""12/19/2017""","""W""",3306,"2017-12-19",12,"""Dec""",2017,19,"""Tuesday"""
40350,"""UIC-Halsted""","""12/06/2017""","""W""",7813,"2017-12-06",12,"""Dec""",2017,6,"""Wednesday"""
40350,"""UIC-Halsted""","""12/29/2017""","""W""",1472,"2017-12-29",12,"""Dec""",2017,29,"""Friday"""
40350,"""UIC-Halsted""","""12/17/2017""","""U""",1321,"2017-12-17",12,"""Dec""",2017,17,"""Sunday"""
40350,"""UIC-Halsted""","""12/25/2017""","""U""",369,"2017-12-25",12,"""Dec""",2017,25,"""Monday"""
40350,"""UIC-Halsted""","""12/15/2017""","""W""",5217,"2017-12-15",12,"""Dec""",2017,15,"""Friday"""
40350,"""UIC-Halsted""","""12/27/2017""","""W""",1347,"2017-12-27",12,"""Dec""",2017,27,"""Wednesday"""
40350,"""UIC-Halsted""","""12/05/2017""","""W""",7731,"2017-12-05",12,"""Dec""",2017,5,"""Tuesday"""
40350,"""UIC-Halsted""","""12/02/2017""","""A""",2340,"2017-12-02",12,"""Dec""",2017,2,"""Saturday"""
40350,"""UIC-Halsted""","""12/31/2017""","""U""",800,"2017-12-31",12,"""Dec""",2017,31,"""Sunday"""
40350,"""UIC-Halsted""","""12/14/2017""","""W""",5493,"2017-12-14",12,"""Dec""",2017,14,"""Thursday"""
40350,"""UIC-Halsted""","""12/09/2017""","""A""",1947,"2017-12-09",12,"""Dec""",2017,9,"""Saturday"""
40350,"""UIC-Halsted""","""12/22/2017""","""W""",2334,"2017-12-22",12,"""Dec""",2017,22,"""Friday"""
40350,"""UIC-Halsted""","""12/24/2017""","""U""",659,"2017-12-24",12,"""Dec""",2017,24,"""Sunday"""
40350,"""UIC-Halsted""","""12/07/2017""","""W""",7661,"2017-12-07",12,"""Dec""",2017,7,"""Thursday"""
40350,"""UIC-Halsted""","""12/18/2017""","""W""",3216,"2017-12-18",12,"""Dec""",2017,18,"""Monday"""
40350,"""UIC-Halsted""","""12/16/2017""","""A""",1915,"2017-12-16",12,"""Dec""",2017,16,"""Saturday"""
40350,"""UIC-Halsted""","""12/12/2017""","""W""",5553,"2017-12-12",12,"""Dec""",2017,12,"""Tuesday"""
40350,"""UIC-Halsted""","""12/26/2017""","""W""",1019,"2017-12-26",12,"""Dec""",2017,26,"""Tuesday"""
40350,"""UIC-Halsted""","""12/23/2017""","""A""",997,"2017-12-23",12,"""Dec""",2017,23,"""Saturday"""
40350,"""UIC-Halsted""","""12/10/2017""","""U""",1285,"2017-12-10",12,"""Dec""",2017,10,"""Sunday"""
40350,"""UIC-Halsted""","""12/21/2017""","""W""",2718,"2017-12-21",12,"""Dec""",2017,21,"""Thursday"""
40350,"""UIC-Halsted""","""12/03/2017""","""U""",1645,"2017-12-03",12,"""Dec""",2017,3,"""Sunday"""
40350,"""UIC-Halsted""","""03/07/2018""","""W""",7467,"2018-03-07",3,"""Mar""",2018,7,"""Wednesday"""
40350,"""UIC-Halsted""","""02/04/2018""","""U""",1085,"2018-02-04",2,"""Feb""",2018,4,"""Sunday"""
40350,"""UIC-Halsted""","""02/13/2018""","""W""",7493,"2018-02-13",2,"""Feb""",2018,13,"""Tuesday"""
40350,"""UIC-Halsted""","""03/04/2018""","""U""",1397,"2018-03-04",3,"""Mar""",2018,4,"""Sunday"""
40350,"""UIC-Halsted""","""03/08/2018""","""W""",7258,"2018-03-08",3,"""Mar""",2018,8,"""Thursday"""
40350,"""UIC-Halsted""","""02/02/2018""","""W""",6829,"2018-02-02",2,"""Feb""",2018,2,"""Friday"""
40350,"""UIC-Halsted""","""01/20/2018""","""A""",2216,"2018-01-20",1,"""Jan""",2018,20,"""Saturday"""
40350,"""UIC-Halsted""","""01/08/2018""","""W""",2800,"2018-01-08",1,"""Jan""",2018,8,"""Monday"""
40350,"""UIC-Halsted""","""03/23/2018""","""W""",6685,"2018-03-23",3,"""Mar""",2018,23,"""Friday"""
40350,"""UIC-Halsted""","""02/28/2018""","""W""",7501,"2018-02-28",2,"""Feb""",2018,28,"""Wednesday"""
40350,"""UIC-Halsted""","""03/01/2018""","""W""",7118,"2018-03-01",3,"""Mar""",2018,1,"""Thursday"""
40350,"""UIC-Halsted""","""03/11/2018""","""U""",1376,"2018-03-11",3,"""Mar""",2018,11,"""Sunday"""
40350,"""UIC-Halsted""","""01/18/2018""","""W""",7420,"2018-01-18",1,"""Jan""",2018,18,"""Thursday"""
40350,"""UIC-Halsted""","""02/24/2018""","""A""",2185,"2018-02-24",2,"""Feb""",2018,24,"""Saturday"""
40350,"""UIC-Halsted""","""03/20/2018""","""W""",7017,"2018-03-20",3,"""Mar""",2018,20,"""Tuesday"""
40350,"""UIC-Halsted""","""02/21/2018""","""W""",7634,"2018-02-21",2,"""Feb""",2018,21,"""Wednesday"""
40350,"""UIC-Halsted""","""01/10/2018""","""W""",3168,"2018-01-10",1,"""Jan""",2018,10,"""Wednesday"""
40350,"""UIC-Halsted""","""01/03/2018""","""W""",2249,"2018-01-03",1,"""Jan""",2018,3,"""Wednesday"""
40350,"""UIC-Halsted""","""03/25/2018""","""U""",1430,"2018-03-25",3,"""Mar""",2018,25,"""Sunday"""
40350,"""UIC-Halsted""","""03/19/2018""","""W""",7067,"2018-03-19",3,"""Mar""",2018,19,"""Monday"""
40350,"""UIC-Halsted""","""01/14/2018""","""U""",1218,"2018-01-14",1,"""Jan""",2018,14,"""Sunday"""
40350,"""UIC-Halsted""","""03/09/2018""","""W""",6909,"2018-03-09",3,"""Mar""",2018,9,"""Friday"""
40350,"""UIC-Halsted""","""02/03/2018""","""A""",1769,"2018-02-03",2,"""Feb""",2018,3,"""Saturday"""
40350,"""UIC-Halsted""","""02/09/2018""","""W""",3640,"2018-02-09",2,"""Feb""",2018,9,"""Friday"""
40350,"""UIC-Halsted""","""01/22/2018""","""W""",7505,"2018-01-22",1,"""Jan""",2018,22,"""Monday"""
40350,"""UIC-Halsted""","""02/20/2018""","""W""",7203,"2018-02-20",2,"""Feb""",2018,20,"""Tuesday"""
40350,"""UIC-Halsted""","""03/10/2018""","""A""",2061,"2018-03-10",3,"""Mar""",2018,10,"""Saturday"""
40350,"""UIC-Halsted""","""03/27/2018""","""W""",3200,"2018-03-27",3,"""Mar""",2018,27,"""Tuesday"""
40350,"""UIC-Halsted""","""03/30/2018""","""W""",2701,"2018-03-30",3,"""Mar""",2018,30,"""Friday"""
40350,"""UIC-Halsted""","""01/25/2018""","""W""",7505,"2018-01-25",1,"""Jan""",2018,25,"""Thursday"""
40350,"""UIC-Halsted""","""03/12/2018""","""W""",7260,"2018-03-12",3,"""Mar""",2018,12,"""Monday"""
40350,"""UIC-Halsted""","""03/17/2018""","""A""",3027,"2018-03-17",3,"""Mar""",2018,17,"""Saturday"""
40350,"""UIC-Halsted""","""03/28/2018""","""W""",3198,"2018-03-28",3,"""Mar""",2018,28,"""Wednesday"""
40350,"""UIC-Halsted""","""02/18/2018""","""U""",1362,"2018-02-18",2,"""Feb""",2018,18,"""Sunday"""
40350,"""UIC-Halsted""","""03/18/2018""","""U""",1532,"2018-03-18",3,"""Mar""",2018,18,"""Sunday"""
40350,"""UIC-Halsted""","""02/05/2018""","""W""",6982,"2018-02-05",2,"""Feb""",2018,5,"""Monday"""
